cantor,musica,codigo,clipe,at
2 Evisa,Oh La La La,72-114-10,CDG,G07
2 Pac,Changes,68-656-12,CDG,G02
2 Pac,Until The End Of Time,68-702-08,CDG,G00
2 Pac,Thugz Mansion,68-805-01,CDG,G00
2 Pac,California Love (Original Version),68-875-08,CDG,G01
2 Unlimited,No Limit,72-006-05,CDG,G00
2000 DJ Luck & Mc Neat,Masterblaster,39-031-11,CDG,G00
20th Century,ORE JANAKYA KIMI JANAKYA,98-923-55,PV,C13
244 ENDLI-x,KURIKAESU HARU,98-923-57,PV,C13
244 ENDLI-x,Help Me Help Me...,98-923-56,PV,C13
2am,Never let you go -SHINDEMO HANASANAI-,98-904-27,PV,C20
2am,Bye bye,98-818-75,PV,C25
2BACKKA,NAMIDA,99-874-83,SB,M14
2BACKKA,NAMIDA,98-926-89,PV,C14
2BACKKA + BENNIE K,Home,98-973-09,PV,C08
2NE1,Lonely,99-897-73,SB,M20
2NE1,Clap you hands,99-533-65,SB,M27
2NE1,Ugly,99-524-26,SB,M23
2NE1,Scream,99-524-25,SB,M23
2NE1,Ugly,98-949-78,PV,C19
2NE1,I am the best,98-949-77,PV,C19
2NE1,Scream,98-909-58,PV,C21
2NE1,Lonely,98-904-28,PV,C20
2NE1,Missing you,98-818-81,PV,C25
2NE1,Happy,98-818-80,PV,C25
2NE1,Gotta be you,98-818-79,PV,C25
2NE1,Do you love me,98-818-78,PV,C25
2NE1,Crush,98-818-77,PV,C25
2NE1,Come back home,98-818-76,PV,C25
2NE1,I love you (1st global tour - new revolution in Japan),98-805-80,PV,C23
2NE1,Go away (1st global tour - new revolution in Japan),98-805-79,PV,C23
2NE1,Fire (1st global tour - new revolution in Japan) (korean version),98-805-78,PV,C23
2o Love to Sweet Bullet,SOTSUGYOH,98-838-47,PV,C29
2pm,Beautiful,99-899-48,SB,M21
2pm,Winter Games,99-525-52,SB,M24
2pm,Ultra Lover,99-524-30,SB,M23
2pm,Take off,99-524-29,SB,M23
2pm,I'm your man,99-524-28,SB,M23
2pm,Hands up -japanese ver.-,99-524-27,SB,M23
2pm,Give me love,99-522-01,SB,M23
2pm,Take off,98-949-80,PV,C19
2pm,I'm your man,98-949-79,PV,C19
2pm,Masquerade,98-910-40,PV,C21
2pm,Beautiful,98-910-39,PV,C21
2pm,Ultra Lover,98-904-30,PV,C20
2pm,Hands up -japanese ver.-,98-904-29,PV,C20
2pm,MIDARETE MINA,98-824-35,PV,C26
2pm,Guilty love,98-824-34,PV,C26
2pm,Step by step,98-818-82,PV,C25
2pm,Winter Games,98-813-29,PV,C24
2pm,Give me love,98-805-81,PV,C23
2pm+2am Oneday,One day,98-909-59,PV,C21
A,Nothing,72-190-14,CDG,G06
A Banda Mais Bonita da Cidade,Oração,97-027-48,VDK,21
A Banda Mais Bonita da Cidade,Canção Pra Não Voltar,97-154-50,VDK,25
A Chorus Line,One,51-107-80,CDG,G06
A Cor do Som,Abri A Porta,97-064-02,VDK,6
A Cor do Som,Menino Deus,97-071-75,VDK,9
A Cor do Som,Zanzibar,97-074-80,VDK,10
A Cor do Som,Viva,97-152-00,VDK,24
A Day To Remember,All Signs Point To Lauderdale,53-109-06,CDG,G07
A Day To Remember,It's Complicated,53-202-04,CDG,G08
A Flock Of Seagulls,I Ran,68-207-14,CDG,G00
